# wavelength (nm), a (m^-1), A (m^-1 °C^-1), b (m^-1) (Hendrik Buiteveld. 1994. optical properties of pure water)
3.800000000000000000e+02, 5.400000140070915222e-03, nan, 6.500000134110450745e-03
3.800000000000000000e+02, 5.400000140070915222e-03, nan, 6.500000134110450745e-03
3.820000000000000000e+02, 5.400000140070915222e-03, nan, 6.399999838322401047e-03
3.820000000000000000e+02, 5.400000140070915222e-03, nan, 6.399999838322401047e-03
3.840000000000000000e+02, 5.299999844282865524e-03, nan, 6.300000008195638657e-03
3.840000000000000000e+02, 5.299999844282865524e-03, nan, 6.300000008195638657e-03
3.860000000000000000e+02, 5.299999844282865524e-03, nan, 6.099999882280826569e-03
3.860000000000000000e+02, 5.299999844282865524e-03, nan, 6.099999882280826569e-03
3.880000000000000000e+02, 5.299999844282865524e-03, nan, 6.000000052154064178e-03
3.900000000000000000e+02, 5.400000140070915222e-03, nan, 5.900000222027301788e-03
3.920000000000000000e+02, 5.400000140070915222e-03, nan, 5.799999926239252090e-03
3.940000000000000000e+02, 5.400000140070915222e-03, nan, 5.599999800324440002e-03
3.960000000000000000e+02, 5.499999970197677612e-03, nan, 5.499999970197677612e-03
3.980000000000000000e+02, 5.599999800324440002e-03, nan, 5.400000140070915222e-03
4.000000000000000000e+02, 5.799999926239252090e-03, 8.999999845400452614e-04, 5.299999844282865524e-03
4.020000000000000000e+02, 5.900000222027301788e-03, 1.399999950081110001e-03, 5.200000014156103134e-03
4.040000000000000000e+02, 6.099999882280826569e-03, 1.399999950081110001e-03, 5.100000184029340744e-03
4.060000000000000000e+02, 6.300000008195638657e-03, 1.599999959580600262e-03, 4.999999888241291046e-03
4.080000000000000000e+02, 6.500000134110450745e-03, 1.500000013038516045e-03, 4.900000058114528656e-03
4.100000000000000000e+02, 6.699999794363975525e-03, 1.500000013038516045e-03, 4.800000227987766266e-03
4.120000000000000000e+02, 6.899999920278787613e-03, 1.300000003539025784e-03, 4.699999932199716568e-03
4.140000000000000000e+02, 7.199999876320362091e-03, 1.500000013038516045e-03, 4.600000102072954178e-03
4.160000000000000000e+02, 7.400000002235174179e-03, 1.500000013038516045e-03, 4.499999806284904480e-03
4.180000000000000000e+02, 7.600000128149986267e-03, 1.399999950081110001e-03, 4.399999976158142090e-03
4.200000000000000000e+02, 7.899999618530273438e-03, 1.500000013038516045e-03, 4.300000146031379700e-03
4.220000000000000000e+02, 8.200000040233135223e-03, 1.399999950081110001e-03, 4.199999850243330002e-03
4.240000000000000000e+02, 8.399999700486660004e-03, 1.500000013038516045e-03, 4.199999850243330002e-03
4.260000000000000000e+02, 8.700000122189521790e-03, 1.500000013038516045e-03, 4.100000020116567612e-03
4.280000000000000000e+02, 8.899999782443046570e-03, 1.500000013038516045e-03, 4.000000189989805222e-03
4.300000000000000000e+02, 9.200000204145908356e-03, 1.399999950081110001e-03, 3.899999894201755524e-03
4.320000000000000000e+02, 9.399999864399433136e-03, 1.300000003539025784e-03, 3.800000064074993134e-03
4.340000000000000000e+02, 9.700000286102294922e-03, 1.399999950081110001e-03, 3.800000064074993134e-03
4.360000000000000000e+02, 9.899999946355819702e-03, 1.300000003539025784e-03, 3.700000001117587090e-03
4.380000000000000000e+02, 1.020000036805868149e-02, 1.599999959580600262e-03, 3.599999938160181046e-03
4.400000000000000000e+02, 1.040000002831220627e-02, 1.399999950081110001e-03, 3.599999938160181046e-03
4.400000000000000000e+02, 1.040000002831220627e-02, 1.399999950081110001e-03, 3.599999938160181046e-03
4.420000000000000000e+02, 1.059999968856573105e-02, 1.399999950081110001e-03, 3.500000108033418655e-03
4.420000000000000000e+02, 1.059999968856573105e-02, 1.399999950081110001e-03, 3.500000108033418655e-03
4.440000000000000000e+02, 1.080000028014183044e-02, 1.300000003539025784e-03, 3.400000045076012611e-03
4.440000000000000000e+02, 1.080000028014183044e-02, 1.300000003539025784e-03, 3.400000045076012611e-03
4.460000000000000000e+02, 1.099999994039535522e-02, 1.599999959580600262e-03, 3.400000045076012611e-03
4.460000000000000000e+02, 1.099999994039535522e-02, 1.599999959580600262e-03, 3.400000045076012611e-03
4.480000000000000000e+02, 1.119999960064888000e-02, 1.300000003539025784e-03, 3.299999982118606567e-03
4.480000000000000000e+02, 1.119999960064888000e-02, 1.300000003539025784e-03, 3.299999982118606567e-03
4.500000000000000000e+02, 1.140000019222497940e-02, 1.599999959580600262e-03, 3.299999982118606567e-03
4.500000000000000000e+02, 1.140000019222497940e-02, 1.599999959580600262e-03, 3.299999982118606567e-03
4.520000000000000000e+02, 1.159999985247850418e-02, 1.399999950081110001e-03, 3.199999919161200523e-03
4.520000000000000000e+02, 1.159999985247850418e-02, 1.399999950081110001e-03, 3.199999919161200523e-03
4.540000000000000000e+02, 1.180000044405460358e-02, 1.399999950081110001e-03, 3.100000089034438133e-03
4.540000000000000000e+02, 1.180000044405460358e-02, 1.399999950081110001e-03, 3.100000089034438133e-03
4.560000000000000000e+02, 1.200000010430812836e-02, 1.399999950081110001e-03, 3.100000089034438133e-03
4.560000000000000000e+02, 1.200000010430812836e-02, 1.399999950081110001e-03, 3.100000089034438133e-03
4.580000000000000000e+02, 1.219999976456165314e-02, 1.200000056996941566e-03, 3.000000026077032089e-03
