# wavelength (nm), a (m^-1), A (m^-1 °C^-1), b (m^-1) (Hendrik Buiteveld. 1994. optical properties of pure water)
6.420000000000000000e+02, 3.143999874591827393e-01, 1.099999994039535522e-03, 6.999999750405550003e-04
6.440000000000000000e+02, 3.181000053882598877e-01, 1.099999994039535522e-03, 6.999999750405550003e-04
6.440000000000000000e+02, 3.181000053882598877e-01, 1.099999994039535522e-03, 6.999999750405550003e-04
6.460000000000000000e+02, 3.222999870777130127e-01, 1.099999994039535522e-03, 6.999999750405550003e-04
6.460000000000000000e+02, 3.222999870777130127e-01, 1.099999994039535522e-03, 6.999999750405550003e-04
6.480000000000000000e+02, 3.263000000000000000e+03, 1.000000047497451305e-03, 6.999999750405550003e-04
6.480000000000000000e+02, 3.263000000000000000e+03, 1.000000047497451305e-03, 6.999999750405550003e-04
6.500000000000000000e+02, 3.314999938011169434e-01, 1.099999994039535522e-03, 6.999999750405550003e-04
6.500000000000000000e+02, 3.314999938011169434e-01, 1.099999994039535522e-03, 6.999999750405550003e-04
6.520000000000000000e+02, 3.361999988555908203e-01, 1.000000047497451305e-03, 6.999999750405550003e-04
6.520000000000000000e+02, 3.361999988555908203e-01, 1.000000047497451305e-03, 6.999999750405550003e-04
6.540000000000000000e+02, 3.422999978065490723e-01, 1.000000047497451305e-03, 6.999999750405550003e-04
6.540000000000000000e+02, 3.422999978065490723e-01, 1.000000047497451305e-03, 6.999999750405550003e-04
6.560000000000000000e+02, 3.508000075817108154e-01, 1.000000047497451305e-03, 6.999999750405550003e-04
6.560000000000000000e+02, 3.508000075817108154e-01, 1.000000047497451305e-03, 6.999999750405550003e-04
6.580000000000000000e+02, 3.635999858379364014e-01, 1.099999994039535522e-03, 6.999999750405550003e-04
6.580000000000000000e+02, 3.635999858379364014e-01, 1.099999994039535522e-03, 6.999999750405550003e-04
6.600000000000000000e+02, 3.790999948978424072e-01, 1.200000056996941566e-03, 6.999999750405550003e-04
6.600000000000000000e+02, 3.790999948978424072e-01, 1.200000056996941566e-03, 6.999999750405550003e-04
6.620000000000000000e+02, 3.930999934673309326e-01, 1.500000013038516045e-03, 6.999999750405550003e-04
6.620000000000000000e+02, 3.930999934673309326e-01, 1.500000013038516045e-03, 6.999999750405550003e-04
6.640000000000000000e+02, 4.018999934196472168e-01, 1.500000013038516045e-03, 6.000000284984707832e-04
6.660000000000000000e+02, 4.072000086307525635e-01, 1.500000013038516045e-03, 6.000000284984707832e-04
6.680000000000000000e+02, 4.097999930381774902e-01, 1.399999950081110001e-03, 6.000000284984707832e-04
6.700000000000000000e+02, 4.122000038623809814e-01, 1.399999950081110001e-03, 6.000000284984707832e-04
6.720000000000000000e+02, 4.149999916553497314e-01, 1.300000003539025784e-03, 6.000000284984707832e-04
6.740000000000000000e+02, 4.172999858856201172e-01, 1.300000003539025784e-03, 6.000000284984707832e-04
6.760000000000000000e+02, 4.223000109195709229e-01, 1.200000056996941566e-03, 6.000000284984707832e-04
6.780000000000000000e+02, 4.269999861717224121e-01, 1.099999994039535522e-03, 6.000000284984707832e-04
6.800000000000000000e+02, 4.318000078201293945e-01, 1.099999994039535522e-03, 6.000000284984707832e-04
6.820000000000000000e+02, 4.381000101566314697e-01, 1.000000047497451305e-03, 6.000000284984707832e-04
6.840000000000000000e+02, 4.458000063896179199e-01, 1.000000047497451305e-03, 6.000000284984707832e-04
6.860000000000000000e+02, 4.544999897480010986e-01, 8.999999845400452614e-04, 6.000000284984707832e-04
6.880000000000000000e+02, 4.645999968051910400e-01, 1.000000047497451305e-03, 6.000000284984707832e-04
6.900000000000000000e+02, 4.760000109672546387e-01, 8.999999845400452614e-04, 6.000000284984707832e-04
6.920000000000000000e+02, 4.902999997138977051e-01, 8.999999845400452614e-04, 5.000000237487256527e-04
6.940000000000000000e+02, 5.070999860763549805e-01, 8.999999845400452614e-04, 5.000000237487256527e-04
6.960000000000000000e+02, 5.243999958038330078e-01, 1.000000047497451305e-03, 5.000000237487256527e-04
6.980000000000000000e+02, 5.469999909400939941e-01, 8.999999845400452614e-04, 5.000000237487256527e-04
7.000000000000000000e+02, 5.722000002861022949e-01, 1.000000047497451305e-03, 5.000000237487256527e-04
7.020000000000000000e+02, 5.995000004768371582e-01, 1.200000056996941566e-03, 5.000000237487256527e-04
7.040000000000000000e+02, 6.302999854087829590e-01, 1.200000056996941566e-03, 5.000000237487256527e-04
7.060000000000000000e+02, 6.628000140190124512e-01, 1.300000003539025784e-03, 5.000000237487256527e-04
7.080000000000000000e+02, 6.992999911308288574e-01, 1.599999959580600262e-03, 5.000000237487256527e-04
7.100000000000000000e+02, 7.415000200271606445e-01, 1.799999969080090523e-03, 5.000000237487256527e-04
7.120000000000000000e+02, 7.893000245094299316e-01, 2.099999925121665001e-03, 5.000000237487256527e-04
7.140000000000000000e+02, 8.445000052452087402e-01, 2.600000007078051567e-03, 5.000000237487256527e-04
7.140000000000000000e+02, 8.445000052452087402e-01, 2.600000007078051567e-03, 5.000000237487256527e-04
7.160000000000000000e+02, 9.108999967575073242e-01, 3.199999919161200523e-03, 5.000000237487256527e-04
7.160000000000000000e+02, 9.108999967575073242e-01, 3.199999919161200523e-03, 5.000000237487256527e-04
7.180000000000000000e+02, 9.871000051498413086e-01, 3.899999894201755524e-03, 5.000000237487256527e-04
7.180000000000000000e+02, 9.871000051498413086e-01, 3.899999894201755524e-03, 5.000000237487256527e-04
7.200000000000000000e+02, 1.072399973869323730e+00, 4.600000102072954178e-03, 5.000000237487256527e-04
7.200000000000000000e+02, 1.072399973869323730e+00, 4.600000102072954178e-03, 5.000000237487256527e-04
7.220000000000000000e+02, 1.167899966239929199e+00, 5.299999844282865524e-03, 5.000000237487256527e-04
7.220000000000000000e+02, 1.167899966239929199e+00, 5.299999844282865524e-03, 5.000000237487256527e-04
7.240000000000000000e+02, 1.268399953842163086e+00, 6.099999882280826569e-03, 5.000000237487256527e-04
7.240000000000000000e+02, 1.268399953842163086e+00, 6.099999882280826569e-03, 5.000000237487256527e-04
7.260000000000000000e+02, 1.371899962425231934e+00, 6.800000090152025223e-03, 3.999999898951500654e-04
7.260000000000000000e+02, 1.371899962425231934e+00, 6.800000090152025223e-03, 3.999999898951500654e-04
7.280000000000000000e+02, 1.486999988555908203e+00, 7.699999958276748657e-03, 3.999999898951500654e-04
7.280000000000000000e+02, 1.486999988555908203e+00, 7.699999958276748657e-03, 3.999999898951500654e-04
7.300000000000000000e+02, 1.621099948883056641e+00, 8.600000292062759399e-03, 3.999999898951500654e-04
7.300000000000000000e+02, 1.621099948883056641e+00, 8.600000292062759399e-03, 3.999999898951500654e-04
7.320000000000000000e+02, 1.787199974060058594e+00, 9.800000116229057312e-03, 3.999999898951500654e-04
7.320000000000000000e+02, 1.787199974060058594e+00, 9.800000116229057312e-03, 3.999999898951500654e-04
7.340000000000000000e+02, 1.991700053215026855e+00, 1.140000019222497940e-02, 3.999999898951500654e-04
7.340000000000000000e+02, 1.991700053215026855e+00, 1.140000019222497940e-02, 3.999999898951500654e-04
7.360000000000000000e+02, 2.207400083541870117e+00, 1.329999975860118866e-02, 3.999999898951500654e-04
7.360000000000000000e+02, 2.207400083541870117e+00, 1.329999975860118866e-02, 3.999999898951500654e-04
7.380000000000000000e+02, 2.394200086593627930e+00, 1.520000025629997253e-02, 3.999999898951500654e-04
7.380000000000000000e+02, 2.394200086593627930e+00, 1.520000025629997253e-02, 3.999999898951500654e-04
7.400000000000000000e+02, 2.531899929046630859e+00, 1.630000025033950806e-02, 3.999999898951500654e-04
7.400000000000000000e+02, 2.531899929046630859e+00, 1.630000025033950806e-02, 3.999999898951500654e-04
7.420000000000000000e+02, 2.623100042343139648e+00, 1.679999940097332001e-02, 3.999999898951500654e-04
7.420000000000000000e+02, 2.623100042343139648e+00, 1.679999940097332001e-02, 3.999999898951500654e-04
7.440000000000000000e+02, 2.672300100326538086e+00, 1.659999974071979523e-02, 3.999999898951500654e-04
7.440000000000000000e+02, 2.672300100326538086e+00, 1.659999974071979523e-02, 3.999999898951500654e-04
7.460000000000000000e+02, 2.702100038528442383e+00, 1.610000059008598328e-02, 3.999999898951500654e-04
7.460000000000000000e+02, 2.702100038528442383e+00, 1.610000059008598328e-02, 3.999999898951500654e-04
7.480000000000000000e+02, 2.721600055694580078e+00, 1.520000025629997253e-02, 3.999999898951500654e-04
7.480000000000000000e+02, 2.721600055694580078e+00, 1.520000025629997253e-02, 3.999999898951500654e-04
7.500000000000000000e+02, 2.733400106430053711e+00, 1.429999992251396179e-02, 3.999999898951500654e-04
7.500000000000000000e+02, 2.733400106430053711e+00, 1.429999992251396179e-02, 3.999999898951500654e-04
7.520000000000000000e+02, 2.741300106048583984e+00, 1.319999992847442627e-02, 3.999999898951500654e-04
7.520000000000000000e+02, 2.741300106048583984e+00, 1.319999992847442627e-02, 3.999999898951500654e-04
7.540000000000000000e+02, 2.747800111770629883e+00, 1.219999976456165314e-02, 3.999999898951500654e-04
7.540000000000000000e+02, 2.747800111770629883e+00, 1.219999976456165314e-02, 3.999999898951500654e-04
7.560000000000000000e+02, 2.754199981689453125e+00, 1.109999977052211761e-02, 3.999999898951500654e-04
7.560000000000000000e+02, 2.754199981689453125e+00, 1.109999977052211761e-02, 3.999999898951500654e-04
7.580000000000000000e+02, 2.762799978256225586e+00, 1.020000036805868149e-02, 3.999999898951500654e-04
7.580000000000000000e+02, 2.762799978256225586e+00, 1.020000036805868149e-02, 3.999999898951500654e-04
7.600000000000000000e+02, 2.770999908447265625e+00, 9.100000374019145966e-03, 3.999999898951500654e-04
7.600000000000000000e+02, 2.770999908447265625e+00, 9.100000374019145966e-03, 3.999999898951500654e-04
7.620000000000000000e+02, 2.773299932479858398e+00, 8.100000210106372833e-03, 3.999999898951500654e-04
7.620000000000000000e+02, 2.773299932479858398e+00, 8.100000210106372833e-03, 3.999999898951500654e-04
7.640000000000000000e+02, 2.774199962615966797e+00, 7.100000046193599701e-03, 3.999999898951500654e-04
7.640000000000000000e+02, 2.774199962615966797e+00, 7.100000046193599701e-03, 3.999999898951500654e-04
7.660000000000000000e+02, 2.770100116729736328e+00, 6.099999882280826569e-03, 3.999999898951500654e-04
7.660000000000000000e+02, 2.770100116729736328e+00, 6.099999882280826569e-03, 3.999999898951500654e-04
7.680000000000000000e+02, 2.760999917984008789e+00, 5.100000184029340744e-03, 3.999999898951500654e-04
7.680000000000000000e+02, 2.760999917984008789e+00, 5.100000184029340744e-03, 3.999999898951500654e-04
7.700000000000000000e+02, 2.754199981689453125e+00, 4.199999850243330002e-03, 3.000000142492353916e-04
7.700000000000000000e+02, 2.754199981689453125e+00, 4.199999850243330002e-03, 3.000000142492353916e-04
7.720000000000000000e+02, 2.748199939727783203e+00, 3.299999982118606567e-03, 3.000000142492353916e-04
7.720000000000000000e+02, 2.748199939727783203e+00, 3.299999982118606567e-03, 3.000000142492353916e-04
7.740000000000000000e+02, 2.730499982833862305e+00, 2.499999944120645523e-03, 3.000000142492353916e-04
7.740000000000000000e+02, 2.730499982833862305e+00, 2.499999944120645523e-03, 3.000000142492353916e-04
7.760000000000000000e+02, 2.709700107574462891e+00, 1.599999959580600262e-03, 3.000000142492353916e-04
7.760000000000000000e+02, 2.709700107574462891e+00, 1.599999959580600262e-03, 3.000000142492353916e-04
7.780000000000000000e+02, 2.689599990844726562e+00, 8.999999845400452614e-04, 3.000000142492353916e-04
7.780000000000000000e+02, 2.689599990844726562e+00, 8.999999845400452614e-04, 3.000000142492353916e-04
7.800000000000000000e+02, 2.658999919891357422e+00, 1.999999949475750327e-04, 3.000000142492353916e-04
7.800000000000000000e+02, 2.658999919891357422e+00, 1.999999949475750327e-04, 3.000000142492353916e-04
7.820000000000000000e+02, 2.633199930191040039e+00, -5.000000237487256527e-04, 3.000000142492353916e-04
7.820000000000000000e+02, 2.633199930191040039e+00, -5.000000237487256527e-04, 3.000000142492353916e-04
7.840000000000000000e+02, 2.606199979782104492e+00, -1.099999994039535522e-03, 3.000000142492353916e-04
7.840000000000000000e+02, 2.606199979782104492e+00, -1.099999994039535522e-03, 3.000000142492353916e-04
7.860000000000000000e+02, 2.570199966430664062e+00, -1.700000022538006306e-03, 3.000000142492353916e-04
7.860000000000000000e+02, 2.570199966430664062e+00, -1.700000022538006306e-03, 3.000000142492353916e-04
7.880000000000000000e+02, 2.533499956130981445e+00, -2.199999988079071045e-03, 3.000000142492353916e-04
7.880000000000000000e+02, 2.533499956130981445e+00, -2.199999988079071045e-03, 3.000000142492353916e-04
7.900000000000000000e+02, 2.492399930953979492e+00, -2.700000070035457611e-03, 3.000000142492353916e-04
7.900000000000000000e+02, 2.492399930953979492e+00, -2.700000070035457611e-03, 3.000000142492353916e-04
7.920000000000000000e+02, 2.448100090026855469e+00, -3.000000026077032089e-03, 3.000000142492353916e-04
7.920000000000000000e+02, 2.448100090026855469e+00, -3.000000026077032089e-03, 3.000000142492353916e-04
7.940000000000000000e+02, 2.408299922943115234e+00, -3.400000045076012611e-03, 3.000000142492353916e-04
7.940000000000000000e+02, 2.408299922943115234e+00, -3.400000045076012611e-03, 3.000000142492353916e-04
7.960000000000000000e+02, 2.374200105667114258e+00, -3.599999938160181046e-03, 3.000000142492353916e-04
7.960000000000000000e+02, 2.374200105667114258e+00, -3.599999938160181046e-03, 3.000000142492353916e-04
7.980000000000000000e+02, 2.333199977874755859e+00, -3.700000001117587090e-03, 3.000000142492353916e-04
7.980000000000000000e+02, 2.333199977874755859e+00, -3.700000001117587090e-03, 3.000000142492353916e-04
8.000000000000000000e+02, 2.293200016021728516e+00, -3.800000064074993134e-03, 3.000000142492353916e-04
8.000000000000000000e+02, 2.293200016021728516e+00, -3.800000064074993134e-03, 3.000000142492353916e-04
