wavelength (nm), mu_a (mm^-1) Hanna Jonasson et al. 2022. Water and hemoglobin modulated gelatin-based phantoms to spectrally mimic inflamed tissue in the validation of biomedical techniques and the modeling of microdialysis data
980.2338868965517, 0.05619845345527509
980.9073193730408, 0.05489532971863191
981.5807518495297, 0.0537926865568569
982.2541843260188, 0.05248956282021372
982.2541843260188, 0.05128667937100463
982.9276168025078, 0.05008379592179554
983.6010492789968, 0.048880912472586455
983.6010492789968, 0.047678029023377366
983.6010492789968, 0.04647514557416828
984.2744817554859, 0.04527226212495919
984.9479142319749, 0.043668417526013734
955.4545454545455, 0.03653585926928282
955.4545454545455, 0.03491204330175915
953.6363636363636, 0.03355886332882274
952.7272727272727, 0.03220568335588635
952.7272727272727, 0.031123139377537218
951.8181818181818, 0.029769959404600824
950.9090909090909, 0.027875507442489858
